case	rows	batch	fanout	engine	repetition	state	source	metric	value	unit	unavailable_reason
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	input_hash	5771acbc50e389e2dbf36706a05a2aeafe6f79bb235ff56a84bbd4a58686ca79		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	output_bytes	30		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	output_rows	5		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	query_compute_ms	0.010334		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	state	cycle_seed		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	update_plus_query_ms	0.454293		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	update_transaction_ms	0.443959		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	affected_rows	1		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	checksum	7f282b147aabd0e66869f1a44c422b6ac39278ba443f4c473e4a2b47a877a16b		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	input_hash	a8b718bfdf4b6544b12c8b19ec9749475b65d133a003a28e7e00d106c30b41c1		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	output_bytes	24		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	output_rows	4		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	query_compute_ms	0.01025		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	state	diamond_path_retract		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	update_plus_query_ms	0.18895900000000002		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	update_transaction_ms	0.178709		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	diamond_path_retract	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	affected_rows	1		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	checksum	7f282b147aabd0e66869f1a44c422b6ac39278ba443f4c473e4a2b47a877a16b		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	input_hash	fbb72863ee8dcba2bd769b8e79483e24bc81ec10130d66953e8206ccfbf0c562		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	output_bytes	24		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	output_rows	4		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	query_compute_ms	0.009082999999999999		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	state	root_retract		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	update_plus_query_ms	0.104208		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	update_transaction_ms	0.095125		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	root_retract	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	affected_rows	1		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	checksum	7f282b147aabd0e66869f1a44c422b6ac39278ba443f4c473e4a2b47a877a16b		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	exact_input_output_validated	true		
